iter	Passed	Remaining
139	1952	11991
140	1963	11959
141	1974	11929
142	1989	11921
143	2001	11897
144	2013	11872
145	2026	11851
146	2038	11829
147	2051	11811
148	2058	11755
149	2069	11728
150	2079	11694
151	2092	11675
152	2103	11646
153	2116	11627
154	2129	11608
155	2141	11588
156	2153	11560
157	2164	11535
158	2176	11510
159	2186	11481
160	2198	11455
161	2209	11427
162	2220	11404
163	2231	11376
164	2242	11350
165	2253	11324
166	2263	11288
167	2273	11258
168	2284	11232
169	2295	11208
170	2306	11182
171	2318	11163
172	2330	11139
173	2342	11119
174	2355	11102
175	2366	11081
176	2379	11064
177	2394	11055
178	2406	11039
179	2419	11022
180	2433	11011
181	2447	10998
182	2459	10981
183	2472	10965
184	2485	10951
185	2498	10936
186	2510	10913
187	2520	10884
188	2532	10868
189	2546	10855
190	2557	10834
191	2570	10819
192	2582	10797
193	2592	10772
194	2603	10747
195	2613	10722
196	2623	10692
197	2635	10676
198	2649	10662
199	2663	10654
200	2674	10630
201	2687	10617
202	2700	10601
203	2711	10580
204	2721	10553
205	2731	10528
206	2743	10511
207	2754	10486
208	2765	10466
209	2776	10446
210	2788	10425
211	2801	10411
212	2813	10394
213	2825	10378
214	2836	10356
215	2846	10333
216	2859	10318
217	2871	10300
218	2883	10281
219	2895	10266
220	2906	10244
221	2918	10229
222	2932	10216
223	2943	10197
224	2954	10176
225	2969	10168
226	2980	10149
227	2994	10138
228	3007	10124
229	3019	10108
230	3030	10087
231	3040	10064
232	3054	10054
233	3066	10038
234	3078	10020
235	3089	10002
236	3100	9982
237	3112	9965
238	3124	9948
239	3135	9928
240	3146	9909
241	3157	9891
242	3169	9872
243	3180	9853
244	3192	9837
245	3204	9823
246	3218	9810
247	3229	9792
248	3241	9776
249	3253	9759
250	3265	9745
251	3280	9736
252	3289	9713
253	3300	9692
254	3310	9672
255	3321	9652
256	3331	9631
257	3343	9616
258	3355	9601
259	3366	9582
260	3377	9562
261	3388	9543
262	3399	9525
263	3410	9507
264	3420	9487
265	3431	9469
266	3442	9449
267	3452	9430
268	3463	9412
269	3474	9392
270	3484	9373
271	3497	9359
272	3509	9346
273	3520	9328
274	3531	9310
275	3542	9293
276	3552	9272
277	3564	9256
278	3574	9238
279	3585	9220
280	3598	9207
281	3612	9198
282	3625	9184
283	3637	9171
284	3651	9159
285	3663	9144
286	3673	9127
287	3684	9108
288	3695	9092
289	3709	9083
290	3720	9065
291	3733	9052
292	3745	9037
293	3758	9024
294	3771	9012
295	3784	9001
296	3796	8987
297	3810	8975
298	3822	8960
299	3835	8949
300	3847	8934
301	3859	8920
302	3873	8909
303	3887	8899
304	3899	8886
305	3912	8873
306	3924	8858
307	3935	8841
308	3948	8829
309	3960	8815
310	3972	8801
311	3987	8791
312	3999	8778
313	4013	8767
314	4025	8754
315	4036	8736
316	4050	8727
317	4064	8715
318	4076	8702
319	4089	8690
320	4102	8678
321	4114	8663
322	4126	8648
323	4137	8632
324	4149	8618
325	4159	8600
326	4172	8587
327	4186	8576
328	4199	8564
329	4211	8551
330	4224	8537
331	4236	8524
332	4248	8509
333	4260	8494
334	4271	8479
335	4282	8463
336	4292	8445
337	4304	8429
338	4316	8417
339	4329	8405
340	4341	8391
341	4352	8374
342	4364	8360
343	4377	8347
344	4387	8329
345	4398	8314
346	4411	8300
347	4422	8286
348	4435	8273
349	4447	8259
350	4460	8248
351	4473	8235
352	4485	8222
353	4497	8206
354	4509	8192
355	4522	8180
356	4533	8164
357	4544	8149
358	4554	8132
359	4565	8115
360	4575	8099
361	4585	8081
362	4597	8067
363	4608	8051
364	4619	8035
365	4631	8022
366	4643	8009
367	4656	7996
368	4666	7980
369	4679	7968
370	4691	7954
371	4705	7943
372	4717	7930
373	4728	7914
374	4741	7902
375	4753	7888
376	4764	7873
377	4775	7857
378	4788	7845
379	4798	7829
380	4809	7814
381	4820	7798
382	4830	7781
383	4841	7765
384	4851	7749
385	4862	7734
386	4875	7722
387	4886	7707
388	4898	7693
389	4909	7679
390	4922	7666
391	4932	7650
392	4944	7637
393	4956	7623
394	4967	7607
395	4979	7594
396	4990	7580
397	5002	7565
398	5013	7551
399	5025	7537
400	5038	7525
401	5050	7512
402	5060	7496
403	5073	7485
404	5085	7471
405	5101	7464
406	5113	7450
407	5123	7434
408	5134	7419
409	5145	7404
410	5157	7391
411	5168	7376
412	5179	7361
413	5190	7347
414	5201	7332
415	5212	7317
416	5223	7303
417	5236	7291
418	5247	7276
419	5259	7262
420	5269	7247
421	5281	7234
422	5294	7222
423	5305	7207
424	5316	7193
425	5328	7179
426	5339	7165
427	5350	7150
428	5362	7137
429	5374	7124
430	5386	7110
431	5398	7097
432	5410	7085
433	5422	7071
434	5432	7056
435	5444	7042
436	5454	7027
437	5466	7014
438	5478	7001
439	5489	6986
440	5500	6971
441	5512	6959
442	5525	6947
443	5537	6934
444	5550	6922
445	5564	6912
446	5577	6900
447	5592	6890
448	5605	6878
449	5615	6863
450	5626	6849
451	5640	6837
452	5651	6823
453	5663	6811
454	5676	6799
455	5689	6787
456	5702	6775
457	5713	6761
458	5725	6748
459	5737	6735
460	5747	6720
461	5759	6706
462	5769	6691
463	5779	6675
464	5790	6661
465	5804	6651
466	5814	6636
467	5824	6620
468	5835	6606
469	5845	6592
470	5856	6577
471	5868	6565
472	5878	6549
473	5889	6535
474	5903	6524
475	5914	6511
476	5926	6497
477	5937	6484
478	5951	6473
479	5962	6458
480	5973	6445
481	5984	6431
482	5996	6418
483	6007	6404
484	6019	6391
485	6030	6377
486	6042	6365
487	6055	6353
488	6067	6340
489	6078	6326
490	6089	6312
491	6101	6299
492	6113	6286
493	6124	6273
494	6135	6259
495	6149	6248
496	6160	6235
497	6170	6220
498	6182	6207
499	6195	6195
500	6207	6182
501	6219	6170
502	6232	6157
503	6242	6143
504	6253	6130
505	6264	6115
506	6278	6105
507	6291	6093
508	6306	6083
509	6318	6070
510	6331	6058
511	6345	6047
512	6358	6036
513	6371	6024
514	6382	6010
515	6394	5997
516	6405	5983
517	6415	5969
518	6427	5956
519	6437	5942
520	6448	5928
521	6459	5915
522	6470	5901
523	6481	5887
524	6493	5875
525	6503	5860
526	6515	5847
527	6526	5834
528	6537	5820
529	6548	5807
530	6559	5793
531	6572	5781
532	6582	5767
533	6593	5753
534	6604	5740
535	6614	5726
536	6626	5713
537	6638	5700
538	6650	5687
539	6662	5675
540	6675	5663
541	6685	5649
542	6699	5638
543	6711	5625
544	6724	5614
545	6737	5602
546	6749	5589
547	6761	5577
548	6773	5564
549	6784	5550
550	6796	5537
551	6807	5525
552	6820	5512
553	6832	5500
554	6843	5486
555	6854	5473
556	6865	5460
557	6877	5447
558	6888	5434
559	6901	5422
560	6912	5409
561	6924	5396
562	6935	5383
563	6948	5371
564	6959	5358
565	6974	5347
566	6985	5334
567	6995	5320
568	7008	5308
569	7023	5298
570	7034	5285
571	7046	5272
572	7060	5261
573	7074	5250
574	7086	5238
575	7098	5225
576	7109	5212
577	7121	5199
578	7134	5187
579	7146	5175
580	7160	5163
581	7172	5151
582	7183	5138
583	7196	5125
584	7206	5112
585	7218	5100
586	7231	5088
587	7244	5076
588	7254	5062
589	7265	5048
590	7276	5035
591	7286	5021
592	7297	5008
593	7307	4994
594	7317	4981
595	7329	4968
596	7340	4955
597	7351	4941
598	7362	4928
599	7374	4916
600	7390	4906
601	7400	4892
602	7412	4879
603	7423	4867
604	7436	4854
605	7448	4842
606	7459	4829
607	7471	4816
608	7482	4804
609	7495	4792
610	7506	4779
611	7516	4765
612	7528	4752
613	7539	4739
614	7553	4728
615	7563	4714
616	7574	4701
617	7586	4689
618	7598	4676
619	7609	4664
620	7621	4651
621	7631	4637
622	7644	4625
623	7657	4613
624	7670	4602
625	7682	4589
626	7693	4576
627	7705	4564
628	7717	4551
629	7727	4538
630	7740	4526
631	7752	4513
632	7763	4501
633	7776	4489
634	7786	4475
635	7800	4464
636	7810	4450
637	7820	4437
638	7832	4425
639	7844	4412
640	7856	4400
641	7868	4387
642	7879	4374
643	7890	4361
644	7901	4349
645	7913	4336
646	7924	4323
647	7937	4311
648	7950	4299
649	7962	4287
650	7973	4274
651	7989	4264
652	8000	4251
653	8011	4238
654	8021	4225
655	8033	4212
656	8046	4200
657	8059	4188
658	8069	4175
659	8080	4162
660	8092	4150
661	8102	4136
662	8114	4124
663	8127	4112
664	8137	4099
665	8148	4086
666	8161	4074
667	8173	4062
668	8185	4049
669	8198	4037
670	8210	4025
671	8223	4013
672	8236	4002
673	8248	3989
674	8262	3978
675	8273	3965
676	8287	3953
677	8299	3941
678	8310	3929
679	8323	3916
680	8339	3906
681	8351	3893
682	8362	3881
683	8373	3868
684	8388	3857
685	8399	3844
686	8411	3832
687	8423	3820
688	8437	3808
689	8448	3795
690	8459	3782
691	8470	3770
692	8482	3757
693	8493	3745
694	8506	3733
695	8520	3721
696	8534	3710
697	8544	3696
698	8557	3684
699	8569	3672
700	8578	3659
701	8589	3646
702	8602	3634
703	8613	3621
704	8625	3609
705	8637	3597
706	8649	3584
707	8663	3572
708	8675	3560
709	8686	3548
710	8698	3535
711	8708	3522
712	8719	3509
713	8730	3497
714	8741	3484
715	8752	3471
716	8764	3459
717	8777	3447
718	8789	3434
719	8801	3422
720	8813	3410
721	8826	3398
722	8837	3385
723	8847	3372
724	8859	3360
725	8870	3347
726	8882	3335
727	8892	3322
728	8904	3310
729	8915	3297
730	8929	3285
731	8939	3272
732	8952	3260
733	8966	3249
734	8981	3238
735	8993	3226
736	9009	3214
737	9021	3202
738	9036	3191
739	9051	3180
740	9063	3167
741	9074	3155
742	9087	3143
743	9099	3131
744	9112	3119
745	9124	3106
746	9136	3094
747	9148	3082
748	9160	3069
749	9170	3056
750	9182	3044
751	9195	3032
752	9207	3020
753	9220	3008
754	9232	2996
755	9244	2983
756	9256	2971
757	9267	2958
758	9280	2946
759	9294	2935
760	9306	2922
761	9317	2910
762	9328	2897
763	9341	2885
764	9353	2873
765	9364	2860
766	9375	2848
767	9385	2835
768	9397	2823
769	9411	2811
770	9424	2799
771	9437	2787
772	9448	2774
773	9459	2762
774	9472	2750
775	9484	2737
776	9496	2725
777	9508	2713
778	9520	2700
779	9532	2688
780	9544	2676
781	9555	2663
782	9565	2650
783	9577	2638
784	9590	2626
785	9603	2614
786	9615	2602
787	9625	2589
788	9636	2577
789	9647	2564
790	9658	2552
791	9670	2539
792	9682	2527
793	9693	2515
794	9705	2502
795	9717	2490
796	9730	2478
797	9741	2465
798	9753	2453
799	9762	2440
800	9773	2428
801	9787	2416
802	9798	2403
803	9810	2391
804	9823	2379
805	9835	2367
806	9846	2354
807	9858	2342
808	9869	2330
809	9881	2317
810	9892	2305
811	9902	2292
812	9914	2280
813	9927	2268
814	9938	2255
815	9949	2243
816	9962	2231
817	9972	2218
818	9984	2206
819	9995	2194
820	10006	2181
821	10017	2169
822	10028	2156
823	10040	2144
824	10051	2132
825	10062	2119
826	10073	2107
827	10083	2094
828	10094	2082
829	10106	2070
830	10117	2057
831	10128	2045
832	10138	2032
833	10149	2020
834	10160	2007
835	10171	1995
836	10184	1983
837	10195	1971
838	10207	1958
839	10218	1946
840	10232	1934
841	10244	1922
842	10256	1910
843	10267	1897
844	10278	1885
845	10289	1873
846	10300	1860
847	10313	1848
848	10325	1836
849	10337	1824
850	10350	1812
851	10361	1799
852	10372	1787
853	10383	1775
854	10393	1762
855	10403	1750
856	10416	1738
857	10427	1725
858	10439	1713
859	10450	1701
860	10462	1689
861	10475	1676
862	10489	1665
863	10500	1652
864	10513	1640
865	10525	1628
866	10538	1616
867	10551	1604
868	10564	1592
869	10577	1580
870	10589	1568
871	10602	1556
872	10613	1544
873	10625	1531
874	10636	1519
875	10649	1507
876	10660	1495
877	10672	1482
878	10682	1470
879	10693	1458
880	10704	1445
881	10714	1433
882	10726	1421
883	10738	1409
884	10748	1396
885	10758	1384
886	10771	1372
887	10784	1360
888	10796	1348
889	10808	1335
890	10820	1323
891	10831	1311
892	10842	1299
893	10855	1287
894	10867	1274
895	10881	1263
896	10893	1250
897	10905	1238
898	10915	1226
899	10926	1214
900	10938	1201
901	10950	1189
902	10962	1177
903	10975	1165
904	10985	1153
905	10998	1141
906	11010	1128
907	11023	1116
908	11035	1104
909	11047	1092
910	11059	1080
911	11073	1068
912	11085	1056
913	11096	1044
914	11109	1032
915	11123	1020
916	11134	1007
917	11145	995
918	11159	983
919	11170	971
920	11182	959
921	11195	947
922	11208	935
923	11221	922
924	11234	910
925	11248	898
926	11263	886
927	11276	874
928	11290	862
929	11304	850
930	11317	838
931	11331	826
932	11342	814
933	11356	802
934	11369	790
935	11382	778
936	11392	765
937	11404	753
938	11416	741
939	11428	729
940	11440	717
941	11453	705
942	11468	693
943	11478	680
944	11491	668
945	11505	656
946	11519	644
947	11532	632
948	11544	620
949	11557	608
950	11569	596
951	11582	583
952	11594	571
953	11609	559
954	11622	547
955	11634	535
956	11645	523
957	11658	511
958	11669	498
959	11680	486
960	11690	474
961	11700	462
962	11712	450
963	11723	437
964	11736	425
965	11747	413
966	11760	401
967	11773	389
968	11787	377
969	11798	364
970	11810	352
971	11821	340
972	11835	328
973	11848	316
974	11862	304
975	11875	292
976	11888	279
977	11899	267
978	11912	255
979	11924	243
980	11936	231
981	11948	219
982	11961	206
983	11973	194
984	11983	182
985	11994	170
986	12004	158
987	12015	145
988	12025	133
989	12037	121
990	12049	109
991	12060	97
992	12071	85
993	12081	72
994	12091	60
995	12102	48
996	12114	36
997	12126	24
998	12139	12
999	12153	0
